 ,Area,Mean,Min,Max,X,Y
1,0.646,255,255,255,2661.651,305.682
2,0.646,255,255,255,2663.355,308.523
3,0.323,255,255,255,2278.128,335.512
4,3.874,255,255,255,2509.331,336.980
5,0.323,255,255,255,2275.855,336.648
6,1.614,255,255,255,2277.218,337.444
7,0.646,255,255,255,2501.991,338.069
8,0.323,255,255,255,2504.832,338.353
9,0.968,255,255,255,2507.484,339.489
10,0.323,255,255,255,2277.559,339.489
11,0.323,255,255,255,2502.560,339.489
12,0.323,255,255,255,2276.423,340.057
13,0.323,255,255,255,2505.969,340.057
14,0.323,255,255,255,2504.264,342.330
15,0.646,255,255,255,2852.276,358.807
16,0.968,255,255,255,2433.620,366.194
17,0.646,255,255,255,2763.355,366.478
18,0.323,255,255,255,2665.628,366.762
19,2.583,255,255,255,2762.716,367.898
20,0.323,255,255,255,2432.673,367.898
21,16.787,255,255,255,2494.441,409.266
22,0.323,255,255,255,2491.196,410.512
23,4.197,255,255,255,2496.441,412.785
24,0.323,255,255,255,1880.968,417.330
25,0.323,255,255,255,1879.263,417.898
26,0.323,255,255,255,7293.474,418.466
27,4.197,255,255,255,7293.736,420.302
28,0.323,255,255,255,7295.179,421.875
29,0.323,255,255,255,7465.065,432.671
30,2.583,255,255,255,7462.295,434.304
31,7.102,255,255,255,7465.453,434.918
32,22.598,255,255,255,2768.883,438.207
33,2.583,255,255,255,2478.199,437.500
34,0.323,255,255,255,2524.151,438.921
35,0.323,255,255,255,2523.014,439.489
36,0.646,255,255,255,2304.548,440.057
37,0.323,255,255,255,2479.264,440.057
38,0.323,255,255,255,2521.878,440.057
39,0.323,255,255,255,2307.105,440.626
40,0.323,255,255,255,2476.423,440.626
41,0.323,255,255,255,2525.287,440.626
42,0.646,255,255,255,2521.594,441.194
43,1.291,255,255,255,2769.037,441.620
44,0.968,255,255,255,2770.931,441.572
45,1.614,255,255,255,2476.423,441.989
46,9.039,255,255,255,2525.226,443.527
47,0.646,255,255,255,2521.878,442.614
48,0.646,255,255,255,2527.844,442.614
49,0.323,255,255,255,2529.832,442.898
50,0.323,255,255,255,2521.878,444.035
51,0.968,255,255,255,2223.203,447.254
52,1.291,255,255,255,2221.878,449.290
53,0.646,255,255,255,2224.150,450.001
54,0.323,255,255,255,2225.855,449.716
55,0.323,255,255,255,2219.605,450.285
56,3.228,255,255,255,1565.172,452.160
57,0.646,255,255,255,1936.082,457.387
58,0.323,255,255,255,2259.946,458.807
59,0.323,255,255,255,2463.355,466.194
60,0.646,255,255,255,7356.258,474.432
61,0.323,255,255,255,7358.247,474.148
62,0.646,255,255,255,2449.435,474.716
63,0.323,255,255,255,1804.263,490.057
64,0.968,255,255,255,7195.936,490.436
65,0.323,255,255,255,1800.854,491.762
66,1.614,255,255,255,3170.401,524.262
67,0.323,255,255,255,3175.856,525.285
68,0.323,255,255,255,3172.447,526.421
69,1.291,255,255,255,3174.151,527.273
70,0.323,255,255,255,2392.332,527.557
71,0.323,255,255,255,2394.037,528.126
72,1.614,255,255,255,2391.082,530.285
73,0.323,255,255,255,2394.605,530.967
74,1.937,255,255,255,2473.488,531.629
75,3.874,255,255,255,2472.872,534.234
76,0.323,255,255,255,3166.197,542.898
77,1.291,255,255,255,2757.816,560.228
78,0.646,255,255,255,2758.526,561.648
79,2.583,255,255,255,3438.072,564.560
80,0.646,255,255,255,3063.072,564.773
81,2.583,255,255,255,3065.628,565.981
82,0.323,255,255,255,3063.356,566.194
83,0.323,255,255,255,2513.923,566.762
84,3.551,255,255,255,2522.859,568.157
85,0.323,255,255,255,2730.401,567.898
86,0.323,255,255,255,2661.651,569.035
87,1.937,255,255,255,2728.602,570.266
88,2.583,255,255,255,2731.821,569.674
89,0.968,255,255,255,2514.491,569.603
90,4.842,255,255,255,2522.295,571.307
91,1.291,255,255,255,2524.293,571.450
92,0.323,255,255,255,2666.196,570.739
93,0.968,255,255,255,2664.681,572.254
94,0.323,255,255,255,2524.719,573.012
95,4.520,255,255,255,2774.800,573.986
96,0.646,255,255,255,2776.708,575.001
97,0.646,255,255,255,2780.117,574.717
98,0.323,255,255,255,2778.128,575.285
99,0.646,255,255,255,2772.446,576.137
100,0.323,255,255,255,2775.855,576.421
101,2.260,255,255,255,2777.803,577.233
102,0.323,255,255,255,1793.468,580.398
103,0.323,255,255,255,7019.042,587.217
104,3.874,255,255,255,7062.982,600.001
105,0.323,255,255,255,2839.492,608.239
106,67.472,255,255,255,2600.309,616.879
107,0.968,255,255,255,3561.652,611.648
108,33.252,255,255,255,3221.967,622.946
109,0.323,255,255,255,1644.036,626.989
110,0.323,255,255,255,2831.537,628.126
111,0.323,255,255,255,2828.696,630.967
112,16.464,255,255,255,2997.736,635.557
113,0.968,255,255,255,1625.475,634.944
114,0.323,255,255,255,1629.263,636.080
115,9.685,255,255,255,1734.718,638.902
116,8.394,255,255,255,6808.006,638.856
117,3.874,255,255,255,7705.596,649.006
118,9.039,255,255,255,3131.112,659.903
119,0.323,255,255,255,2362.787,661.648
120,0.323,255,255,255,7069.042,661.648
121,5.488,255,255,255,3131.638,663.253
122,0.323,255,255,255,3132.674,664.489
123,0.323,255,255,255,7070.747,664.489
124,0.646,255,255,255,1332.388,670.171
125,0.323,255,255,255,1631.536,675.285
126,0.323,255,255,255,2198.014,675.285
127,0.646,255,255,255,2198.298,676.705
128,1.614,255,255,255,2196.423,677.898
129,1.614,255,255,255,2198.127,679.489
130,3.228,255,255,255,3689.891,690.058
131,1.614,255,255,255,3687.220,690.739
132,0.646,255,255,255,3691.766,690.910
133,0.323,255,255,255,7108.247,692.330
134,0.323,255,255,255,7109.951,692.899
135,0.323,255,255,255,7108.815,694.035
136,5.488,255,255,255,2623.984,706.167
137,0.323,255,255,255,2627.560,705.967
138,0.323,255,255,255,1290.058,706.535
139,0.323,255,255,255,1289.490,707.671
