 ,Area,Mean,Min,Max,X,Y
152,0.323,255,255,255,2842.333,709.376
153,0.323,255,255,255,2518.469,712.785
154,0.323,255,255,255,2915.628,737.217
155,0.646,255,255,255,2927.276,761.933
156,0.323,255,255,255,2925.856,762.217
157,0.323,255,255,255,2926.424,763.921
158,0.323,255,255,255,2919.037,764.490
159,0.323,255,255,255,2926.992,765.626
160,0.323,255,255,255,2924.719,767.899
161,0.323,255,255,255,2921.310,770.171
162,0.646,255,255,255,2923.867,771.592
163,0.323,255,255,255,2940.628,771.876
164,0.323,255,255,255,2999.151,776.990
165,0.323,255,255,255,2975.856,779.262
166,0.968,255,255,255,2960.894,784.944
167,0.323,255,255,255,2962.787,786.080
168,0.323,255,255,255,2963.924,786.080
169,0.323,255,255,255,2959.947,786.649
170,0.323,255,255,255,2961.083,786.649
171,0.323,255,255,255,2977.560,791.762
172,0.323,255,255,255,2951.424,792.330
173,0.323,255,255,255,2958.242,792.899
174,0.323,255,255,255,2950.287,796.876
175,0.323,255,255,255,2923.583,799.149
176,0.323,255,255,255,3051.992,799.149
177,0.323,255,255,255,2924.151,802.558
178,0.323,255,255,255,1237.785,805.399
179,0.323,255,255,255,2918.469,807.103
180,0.323,255,255,255,2979.833,812.785
181,0.323,255,255,255,2980.969,812.785
182,0.323,255,255,255,1119.604,814.490
183,0.323,255,255,255,2977.560,814.490
184,0.646,255,255,255,2980.685,814.774
185,0.323,255,255,255,2978.697,815.058
186,0.323,255,255,255,1118.467,816.762
187,0.323,255,255,255,1222.445,819.603
188,0.323,255,255,255,3261.651,824.149
189,0.646,255,255,255,3263.640,825.569
190,0.323,255,255,255,3262.220,826.990
191,0.323,255,255,255,3263.356,826.990
192,0.323,255,255,255,3264.492,826.990
193,0.323,255,255,255,2819.037,827.558
194,0.323,255,255,255,2825.287,828.126
195,0.323,255,255,255,3263.924,828.126
196,0.323,255,255,255,2435.514,829.830
197,0.323,255,255,255,2216.196,830.399
198,0.323,255,255,255,3248.583,834.376
199,0.323,255,255,255,3051.424,835.512
200,0.323,255,255,255,3049.151,840.058
201,0.323,255,255,255,2951.992,843.467
202,0.323,255,255,255,1267.899,845.171
203,0.323,255,255,255,2515.060,845.740
204,0.323,255,255,255,3056.538,850.853
205,0.646,255,255,255,2960.231,855.115
206,0.323,255,255,255,2957.106,855.967
207,0.323,255,255,255,841.194,859.376
208,0.323,255,255,255,2966.197,859.376
209,0.646,255,255,255,2470.457,860.228
210,0.646,255,255,255,2467.901,860.796
211,0.646,255,255,255,2468.753,862.501
212,0.968,255,255,255,2470.173,862.974
213,0.323,255,255,255,2792.333,862.785
214,0.323,255,255,255,2954.833,863.353
215,0.323,255,255,255,3228.129,864.490
216,0.323,255,255,255,3257.106,869.603
217,0.323,255,255,255,2476.423,877.558
218,0.323,255,255,255,3284.947,902.558
219,0.323,255,255,255,3283.242,904.262
220,0.323,255,255,255,3285.515,904.262
221,0.323,255,255,255,750.853,904.831
222,0.323,255,255,255,749.717,905.967
223,0.323,255,255,255,3029.833,905.967
224,0.323,255,255,255,747.444,907.103
225,0.323,255,255,255,1525.854,907.103
226,0.323,255,255,255,737.217,908.240
227,0.323,255,255,255,736.649,909.376
228,0.323,255,255,255,745.739,909.944
229,0.323,255,255,255,749.149,909.944
230,0.323,255,255,255,1525.286,909.944
231,0.323,255,255,255,735.512,910.512
232,0.323,255,255,255,736.649,910.512
233,0.646,255,255,255,746.592,912.217
234,0.323,255,255,255,875.853,913.921
235,0.323,255,255,255,877.558,915.058
236,0.323,255,255,255,2396.310,915.058
237,0.323,255,255,255,740.626,915.626
238,0.323,255,255,255,2909.946,916.194
239,0.323,255,255,255,736.649,917.331
240,0.323,255,255,255,2400.855,922.444
241,0.323,255,255,255,859.944,923.581
242,0.646,255,255,255,755.399,925.569
243,0.323,255,255,255,3039.492,925.285
244,0.323,255,255,255,928.694,931.535
245,0.323,255,255,255,928.694,933.240
246,0.646,255,255,255,925.001,935.228
247,0.323,255,255,255,842.331,936.649
248,0.323,255,255,255,732.103,949.149
249,0.646,255,255,255,734.376,950.001
250,0.323,255,255,255,1288.922,949.717
251,0.646,255,255,255,1292.331,950.569
252,0.646,255,255,255,1291.195,951.137
253,0.968,255,255,255,730.967,955.588
254,0.323,255,255,255,721.308,960.512
255,0.323,255,255,255,711.649,961.649
256,0.323,255,255,255,712.217,968.467
257,0.323,255,255,255,707.671,969.035
258,0.323,255,255,255,874.149,1047.444
259,0.323,255,255,255,3553.697,1076.422
260,0.323,255,255,255,3554.265,1077.558
261,0.323,255,255,255,3555.402,1078.126
262,0.323,255,255,255,3555.970,1083.240
263,0.323,255,255,255,3540.061,1096.308
264,0.323,255,255,255,3541.765,1096.308
265,0.323,255,255,255,3528.697,1096.876
266,0.646,255,255,255,3536.652,1098.297
267,0.323,255,255,255,3538.924,1098.013
268,2.905,255,255,255,3535.073,1099.528
269,0.323,255,255,255,3537.788,1099.149
270,0.323,255,255,255,3538.356,1100.854
271,0.323,255,255,255,3541.197,1100.854
272,0.323,255,255,255,3537.220,1101.990
273,0.323,255,255,255,3541.765,1101.990
274,0.323,255,255,255,3538.356,1102.558
