 ,Area,Mean,Min,Max,X,Y
1,0.646,255,255,255,4121.596,338.637
2,5.811,255,255,255,3650.983,456.850
3,0.323,255,255,255,4504.835,806.535
4,0.323,255,255,255,4240.630,937.785
5,0.646,255,255,255,3942.050,1061.081
6,1.291,255,255,255,6696.030,1067.047
7,5.488,255,255,255,4531.640,1076.255
8,2.905,255,255,255,5994.357,1287.407
9,0.646,255,255,255,7348.872,1292.899
10,11.945,255,255,255,7665.342,1433.256
11,0.323,255,255,255,3786.084,1812.218
12,0.323,255,255,255,5221.313,1867.900
13,0.323,255,255,255,5220.745,1871.877
14,0.646,255,255,255,5221.313,1873.298
15,0.323,255,255,255,5217.904,1877.559
16,0.323,255,255,255,5211.654,1882.673
17,0.646,255,255,255,5207.960,1888.070
18,0.323,255,255,255,5207.676,1894.036
19,0.323,255,255,255,5212.790,1894.036
20,0.323,255,255,255,5224.154,1895.741
21,0.968,255,255,255,5210.328,1896.498
22,0.323,255,255,255,5224.722,1896.877
23,0.968,255,255,255,5211.843,1898.392
24,1.291,255,255,255,3764.635,1901.423
25,0.968,255,255,255,7773.588,1938.923
26,17.756,255,255,255,3149.658,2043.107
27,0.323,255,255,255,8263.362,2091.196
28,0.323,255,255,255,8004.270,2119.036
29,1.614,255,255,255,3805.061,2182.787
30,0.323,255,255,255,2994.606,2287.219
31,2.260,255,255,255,7354.919,2289.654
32,0.323,255,255,255,3912.220,2358.809
33,0.323,255,255,255,3778.129,2385.514
34,0.323,255,255,255,3178.129,2434.946
35,0.323,255,255,255,3181.538,2435.514
36,1.291,255,255,255,3611.368,2464.207
37,0.323,255,255,255,6161.655,2708.242
38,0.323,255,255,255,8616.771,2891.765
39,3.874,255,255,255,2873.062,2977.039
40,1.937,255,255,255,3007.106,3069.890
41,2.260,255,255,255,2133.485,3379.428
42,0.323,255,255,255,7421.315,3395.174
43,0.323,255,255,255,4644.039,3421.879
44,0.323,255,255,255,4890.062,3771.879
45,2.583,255,255,255,4815.133,3816.340
46,0.968,255,255,255,1919.226,3873.395
47,0.646,255,255,255,8247.737,3881.254
48,1.291,255,255,255,3954.834,3927.561
49,4.197,255,255,255,1890.540,3979.353
50,0.323,255,255,255,4295.744,4146.880
51,0.323,255,255,255,5743.472,4262.789
52,0.646,255,255,255,5744.325,4263.925
53,0.646,255,255,255,6499.723,4301.141
54,0.323,255,255,255,6500.860,4301.425
55,0.646,255,255,255,4650.858,4307.391
56,2.583,255,255,255,2846.594,4324.153
57,1.291,255,255,255,6792.053,4465.630
58,0.323,255,255,255,6938.928,4488.357
59,0.323,255,255,255,2994.037,4580.403
60,0.323,255,255,255,2994.037,4581.539
61,0.323,255,255,255,2996.310,4581.539
62,2.260,255,255,255,2996.229,4582.676
63,0.323,255,255,255,3361.083,4654.835
64,0.323,255,255,255,6246.882,4944.608
65,2.260,255,255,255,5664.901,5609.706
66,0.323,255,255,255,5355.972,5865.063
