 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,2809.946,569.035
2,0.323,255,255,255,2810.515,570.171
3,0.323,255,255,255,3097.447,654.262
4,0.323,255,255,255,3096.310,655.398
5,0.323,255,255,255,3096.879,656.535
6,0.323,255,255,255,2984.947,668.467
7,0.646,255,255,255,3240.913,671.023
8,0.323,255,255,255,2988.356,671.308
9,0.323,255,255,255,2988.924,672.444
10,0.968,255,255,255,3239.114,673.012
11,0.323,255,255,255,2675.855,680.399
12,0.968,255,255,255,2865.249,682.103
13,0.646,255,255,255,2677.276,684.092
14,0.323,255,255,255,2864.492,683.808
15,0.323,255,255,255,2975.856,684.376
16,0.323,255,255,255,2976.992,684.376
17,0.323,255,255,255,2977.560,685.512
18,0.646,255,255,255,2976.424,686.364
19,0.323,255,255,255,2730.969,699.717
20,1.614,255,255,255,2835.174,713.239
21,0.323,255,255,255,2837.219,713.353
22,0.646,255,255,255,2835.799,715.058
23,0.323,255,255,255,2838.355,715.626
24,0.646,255,255,255,2835.799,716.478
25,0.323,255,255,255,2836.651,719.603
26,0.323,255,255,255,2773.583,721.308
27,0.323,255,255,255,3059.378,721.876
28,1.291,255,255,255,3080.259,722.160
29,0.323,255,255,255,3081.538,723.012
30,0.323,255,255,255,2479.264,734.944
31,0.323,255,255,255,2477.560,736.649
32,0.323,255,255,255,3057.674,740.626
33,0.323,255,255,255,2479.832,762.785
34,0.323,255,255,255,3101.992,775.285
35,0.323,255,255,255,2647.446,777.558
36,0.323,255,255,255,3102.560,778.694
37,0.323,255,255,255,2646.310,779.262
38,0.323,255,255,255,2645.173,779.830
39,0.323,255,255,255,3025.856,780.399
40,0.323,255,255,255,3013.924,783.240
41,0.323,255,255,255,3468.470,783.808
42,1.614,255,255,255,3013.242,785.171
43,0.323,255,255,255,3011.651,786.649
44,0.323,255,255,255,2721.878,788.921
45,0.323,255,255,255,2722.446,790.058
46,9.362,255,255,255,3065.824,795.406
47,0.646,255,255,255,3063.924,796.592
48,0.323,255,255,255,2663.923,798.012
49,0.323,255,255,255,3065.060,798.012
50,0.323,255,255,255,3119.038,798.580
51,0.968,255,255,255,3101.424,801.043
52,0.323,255,255,255,3099.719,803.694
53,1.291,255,255,255,4607.676,804.688
