 ,Area,Mean,Min,Max,X,Y
146,0.323,255,255,255,3787.218,3599.152
147,0.968,255,255,255,3781.536,3600.478
148,0.323,255,255,255,3787.218,3600.288
149,0.323,255,255,255,3790.059,3600.288
150,0.323,255,255,255,3795.741,3600.288
151,0.323,255,255,255,3783.241,3600.856
152,0.323,255,255,255,3794.036,3600.856
153,0.323,255,255,255,3789.491,3601.425
154,0.646,255,255,255,3783.241,3602.277
155,0.968,255,255,255,3787.786,3601.993
156,0.323,255,255,255,3792.332,3601.993
157,0.646,255,255,255,3796.593,3602.277
158,0.323,255,255,255,3791.195,3603.129
159,0.323,255,255,255,3783.241,3603.697
160,0.323,255,255,255,3786.650,3603.697
161,0.646,255,255,255,3789.775,3603.981
162,0.323,255,255,255,3795.741,3603.697
163,0.323,255,255,255,3784.945,3604.265
164,0.646,255,255,255,3792.616,3604.550
165,0.323,255,255,255,3794.036,3604.834
166,0.323,255,255,255,3783.809,3605.402
167,0.323,255,255,255,3788.354,3605.402
168,0.968,255,255,255,3790.817,3605.781
169,0.323,255,255,255,3785.514,3605.970
170,0.323,255,255,255,3786.650,3605.970
171,0.323,255,255,255,3796.309,3605.970
172,0.323,255,255,255,3784.377,3606.538
173,0.323,255,255,255,3789.491,3606.538
174,2.905,255,255,255,3794.983,3607.990
175,0.323,255,255,255,3798.582,3606.538
176,0.323,255,255,255,3786.650,3607.106
177,0.968,255,255,255,3791.195,3607.675
178,0.323,255,255,255,3796.309,3607.106
179,0.646,255,255,255,3785.798,3607.959
180,0.323,255,255,255,3798.582,3607.675
181,2.583,255,255,255,3788.070,3609.308
182,0.646,255,255,255,3799.718,3608.527
183,0.646,255,255,255,3790.059,3609.663
184,0.323,255,255,255,3791.195,3609.379
185,0.323,255,255,255,3797.445,3609.947
186,0.323,255,255,255,3792.332,3610.515
187,0.968,255,255,255,3795.173,3610.705
188,3.874,255,255,255,3800.097,3611.510
189,0.646,255,255,255,3790.059,3611.368
190,0.323,255,255,255,3793.468,3611.084
191,10.331,255,255,255,3796.735,3614.724
192,0.323,255,255,255,3795.741,3612.220
193,0.323,255,255,255,3792.332,3612.788
194,0.968,255,255,255,3799.907,3613.925
195,0.323,255,255,255,3792.332,3614.493
196,1.614,255,255,255,3794.377,3615.515
197,0.323,255,255,255,3802.559,3615.061
198,0.323,255,255,255,3800.854,3615.629
