 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,4038.925,47.443
2,0.323,255,255,255,4791.767,53.125
3,0.323,255,255,255,3226.424,66.193
4,0.323,255,255,255,3230.401,66.193
5,0.968,255,255,255,3229.265,66.951
6,0.323,255,255,255,3228.129,67.898
7,0.323,255,255,255,3651.425,67.898
8,0.323,255,255,255,3128.129,70.171
9,0.323,255,255,255,3126.992,71.307
10,0.323,255,255,255,3128.129,71.307
11,1.614,255,255,255,3126.765,73.125
12,1.291,255,255,255,3129.265,72.869
13,0.323,255,255,255,4371.880,72.443
14,3.228,255,255,255,3123.867,75.796
15,0.323,255,255,255,4484.380,74.148
16,4.197,255,255,255,3126.074,76.464
17,0.323,255,255,255,3129.833,75.284
18,0.323,255,255,255,3363.924,75.852
19,0.323,255,255,255,3520.174,76.421
20,0.646,255,255,255,3521.595,77.273
21,0.968,255,255,255,3519.417,77.936
22,4.842,255,255,255,3520.440,80.890
23,0.323,255,255,255,3516.765,80.398
24,0.323,255,255,255,3514.493,81.534
25,0.323,255,255,255,4480.403,86.648
26,0.323,255,255,255,2791.196,88.352
27,0.323,255,255,255,3167.901,88.352
28,0.646,255,255,255,3323.867,88.636
29,0.646,255,255,255,2793.185,88.921
30,0.323,255,255,255,3322.447,88.921
31,0.323,255,255,255,3325.288,88.921
32,0.323,255,255,255,2796.310,89.489
33,0.323,255,255,255,3328.129,89.489
34,1.614,255,255,255,2791.424,90.511
35,0.968,255,255,255,3321.500,90.436
36,0.323,255,255,255,3323.583,90.057
37,0.323,255,255,255,3325.288,90.057
38,0.323,255,255,255,2796.310,90.625
39,0.323,255,255,255,3328.697,90.625
40,0.323,255,255,255,2787.787,91.193
41,0.323,255,255,255,2793.469,91.193
42,0.323,255,255,255,3324.720,91.193
43,0.646,255,255,255,2794.890,91.761
44,0.323,255,255,255,2792.901,92.330
45,0.323,255,255,255,2794.037,92.898
46,27.763,255,255,255,3456.049,96.816
47,0.323,255,255,255,3458.811,96.307
48,0.323,255,255,255,4048.584,96.307
49,0.323,255,255,255,4051.993,96.307
50,0.323,255,255,255,2941.197,97.443
51,0.323,255,255,255,4051.425,98.011
52,0.323,255,255,255,2940.628,98.580
53,0.323,255,255,255,4379.835,99.148
54,4.520,255,255,255,2944.159,100.812
55,0.323,255,255,255,3454.265,99.716
56,0.323,255,255,255,4083.243,99.716
57,0.968,255,255,255,4084.948,100.284
58,0.323,255,255,255,4007.675,100.852
59,0.323,255,255,255,4082.107,100.852
60,0.323,255,255,255,4380.403,100.852
61,0.323,255,255,255,4381.539,100.852
62,1.291,255,255,255,2940.912,101.989
63,0.323,255,255,255,4012.220,101.421
64,1.937,255,255,255,4078.793,102.368
65,0.323,255,255,255,4083.811,101.421
66,0.323,255,255,255,4086.084,101.421
67,0.323,255,255,255,3261.083,101.989
68,0.646,255,255,255,3456.254,102.273
69,0.323,255,255,255,4082.107,101.989
70,0.646,255,255,255,2946.878,102.841
