 ,Area,Mean,Min,Max,X,Y
1,6.134,255,255,255,1565.328,452.348
2,5.811,255,255,255,7062.792,600.095
3,0.323,255,255,255,2839.492,608.239
4,6.134,255,255,255,7705.436,649.089
5,1.291,255,255,255,7669.753,666.052
6,0.323,255,255,255,5277.563,774.149
7,5.165,255,255,255,2357.780,813.708
8,1.937,255,255,255,6996.504,842.993
9,0.323,255,255,255,4879.835,903.126
10,1.614,255,255,255,5483.131,919.149
11,4.197,255,255,255,5278.787,939.184
12,3.874,255,255,255,3674.152,947.160
13,7.425,255,255,255,4024.992,1028.274
14,3.551,255,255,255,4517.748,1031.174
15,6.134,255,255,255,6743.145,1036.051
16,1.291,255,255,255,6445.462,1139.774
17,3.228,255,255,255,6211.030,1150.399
18,0.323,255,255,255,2686.083,1183.240
19,0.323,255,255,255,4555.403,1186.081
20,1.291,255,255,255,7034.383,1287.217
21,2.260,255,255,255,6282.678,1409.945
22,0.646,255,255,255,4378.982,1421.877
23,114.605,255,255,255,4089.370,1503.204
24,0.323,255,255,255,4087.221,1497.445
25,0.323,255,255,255,4084.948,1498.013
26,0.968,255,255,255,4089.493,1508.998
27,2.905,255,255,255,4094.418,1511.523
28,1.291,255,255,255,4083.669,1512.218
29,1.937,255,255,255,6947.735,1516.574
30,0.646,255,255,255,5382.961,1521.309
31,0.646,255,255,255,6617.053,1522.161
32,4.197,255,255,255,7376.691,1531.405
33,3.874,255,255,255,6356.115,1531.962
34,0.323,255,255,255,7240.633,1700.286
35,0.323,255,255,255,4524.721,1726.991
36,5.811,255,255,255,3412.314,1804.074
37,0.968,255,255,255,5661.275,1837.597
38,0.646,255,255,255,4109.948,1869.888
39,0.323,255,255,255,7169.610,1971.877
40,1.614,255,255,255,6621.087,2099.605
41,0.968,255,255,255,3054.833,2130.400
42,0.968,255,255,255,4351.425,2248.203
43,0.323,255,255,255,4353.130,2248.582
44,1.937,255,255,255,4112.505,2656.537
45,6.134,255,255,255,4568.202,2734.288
46,0.323,255,255,255,3619.606,2893.469
47,0.646,255,255,255,5483.529,2966.197
48,0.968,255,255,255,1956.726,3642.712
49,3.228,255,255,255,4327.732,3928.357
50,0.968,255,255,255,3244.985,4099.531
51,0.323,255,255,255,2082.673,4317.903
52,0.323,255,255,255,2084.377,4319.039
53,0.323,255,255,255,2101.991,4339.494
54,0.323,255,255,255,2104.264,4339.494
55,0.323,255,255,255,2103.127,4340.062
56,0.323,255,255,255,2101.423,4340.630
57,0.646,255,255,255,2103.696,4342.050
58,0.323,255,255,255,2102.559,4342.334
59,1.291,255,255,255,1918.468,4418.045
