 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,5033.244,627.558
2,0.323,255,255,255,4517.335,766.194
3,0.968,255,255,255,4549.910,893.088
4,0.646,255,255,255,3237.504,955.115
5,0.646,255,255,255,4899.437,1276.138
6,0.323,255,255,255,3371.879,1423.013
7,0.323,255,255,255,4976.426,1441.763
8,0.646,255,255,255,2848.867,1477.558
9,6.779,255,255,255,2657.403,1624.177
10,0.646,255,255,255,2315.344,1663.922
11,0.323,255,255,255,5966.768,1764.491
12,0.323,255,255,255,5970.745,1766.763
13,0.323,255,255,255,5967.905,1770.172
14,0.323,255,255,255,5975.291,1770.172
15,0.323,255,255,255,5971.314,1772.445
16,0.323,255,255,255,5974.155,1772.445
17,0.323,255,255,255,5971.314,1773.582
18,0.323,255,255,255,5974.155,1775.286
19,0.323,255,255,255,5983.245,1775.286
20,0.323,255,255,255,5973.018,1777.559
21,0.323,255,255,255,5974.155,1777.559
22,0.323,255,255,255,5983.245,1778.695
23,0.323,255,255,255,5975.859,1779.263
24,0.323,255,255,255,5982.109,1780.400
25,0.323,255,255,255,5986.086,1780.400
26,0.646,255,255,255,5991.484,1783.525
27,0.646,255,255,255,5996.598,1789.775
28,0.323,255,255,255,5992.905,1790.627
29,0.323,255,255,255,3216.197,1791.195
30,0.323,255,255,255,6001.995,1791.763
31,0.323,255,255,255,5998.586,1792.332
32,0.323,255,255,255,2937.787,1873.582
33,2.260,255,255,255,3026.992,1909.377
34,0.968,255,255,255,3731.160,1943.658
35,2.905,255,255,255,1844.794,1945.110
36,0.646,255,255,255,1708.241,1947.729
37,0.323,255,255,255,3109.947,1950.286
38,0.968,255,255,255,3722.069,1953.885
39,1.291,255,255,255,3521.027,1956.252
40,0.323,255,255,255,3724.152,1957.104
41,0.323,255,255,255,3724.720,1958.241
42,1.291,255,255,255,2569.605,2069.178
43,0.323,255,255,255,1379.831,2149.718
44,0.323,255,255,255,1972.445,2271.878
45,3.228,255,255,255,1776.025,2291.878
46,1.614,255,255,255,1717.104,2377.673
47,0.323,255,255,255,272.443,2394.037
48,0.646,255,255,255,5802.279,2399.719
49,2.905,255,255,255,368.277,2459.693
50,0.323,255,255,255,2337.219,2598.014
51,6.134,255,255,255,5537.820,2770.383
52,0.323,255,255,255,3280.401,2884.946
53,0.968,255,255,255,2253.317,2947.068
54,3.228,255,255,255,3164.208,2988.924
55,9.685,255,255,255,2481.120,3007.996
56,7.102,255,255,255,3502.612,3011.599
57,1.291,255,255,255,2947.447,3100.004
58,1.291,255,255,255,5858.103,3112.219
59,4.842,255,255,255,6294.306,3138.848
60,2.260,255,255,255,2764.654,3145.986
61,1.614,255,255,255,507.785,3153.129
62,0.323,255,255,255,4463.926,3188.924
63,0.968,255,255,255,5464.305,3240.818
64,0.323,255,255,255,1279.263,3243.470
65,1.291,255,255,255,6167.052,3309.663
66,0.323,255,255,255,5451.427,3355.402
67,0.323,255,255,255,3869.607,3396.879
68,0.323,255,255,255,3870.743,3397.447
69,0.323,255,255,255,3870.743,3398.583
70,0.323,255,255,255,3063.356,3405.402
71,0.323,255,255,255,5650.291,3415.061
72,3.551,255,255,255,2382.931,3424.513
73,0.323,255,255,255,3847.448,3428.129
74,3.874,255,255,255,4869.987,3430.922
75,0.323,255,255,255,3837.220,3436.652
76,0.323,255,255,255,5273.586,3475.288
77,4.842,255,255,255,4162.751,3598.356
78,0.323,255,255,255,4398.585,3676.425
79,0.968,255,255,255,3002.371,3707.485
80,0.323,255,255,255,5496.881,3757.675
81,1.291,255,255,255,5101.142,3762.220
82,0.968,255,255,255,5535.328,3766.387
83,0.323,255,255,255,5531.540,3770.175
84,2.583,255,255,255,3320.600,3783.101
85,0.323,255,255,255,5451.427,3787.788
86,0.646,255,255,255,5526.427,3788.072
87,0.323,255,255,255,5527.563,3789.493
88,0.323,255,255,255,5523.018,3799.152
89,0.323,255,255,255,5522.449,3800.288
90,0.323,255,255,255,5661.086,3802.561
91,0.323,255,255,255,5524.154,3821.879
92,0.323,255,255,255,5517.336,3822.448
93,0.323,255,255,255,5516.768,3823.584
94,0.646,255,255,255,5513.074,3824.720
95,0.323,255,255,255,3563.925,3831.538
96,0.323,255,255,255,5487.790,3831.538
97,0.323,255,255,255,5388.358,3839.493
98,0.323,255,255,255,5508.813,3860.516
99,0.323,255,255,255,5502.563,3869.607
100,0.646,255,255,255,5592.620,3880.686
101,0.323,255,255,255,5303.699,3886.652
102,0.323,255,255,255,5258.813,3896.311
103,0.323,255,255,255,5454.836,3901.993
104,0.323,255,255,255,5705.404,3916.766
105,0.323,255,255,255,5769.609,3925.857
106,0.323,255,255,255,5768.472,3926.425
107,0.323,255,255,255,5766.768,3927.561
108,0.323,255,255,255,5768.472,3927.561
109,0.323,255,255,255,3595.175,3930.402
110,2.260,255,255,255,3365.223,3938.276
111,0.323,255,255,255,5613.927,3941.766
112,0.646,255,255,255,5755.120,3942.050
113,0.323,255,255,255,5755.404,3945.743
114,0.968,255,255,255,5751.995,3947.448
115,0.323,255,255,255,5751.427,3948.584
116,0.323,255,255,255,5638.927,3949.152
117,0.323,255,255,255,5757.677,3954.266
118,2.260,255,255,255,2292.738,3959.704
119,0.323,255,255,255,3685.516,3964.493
120,0.323,255,255,255,5305.404,3968.470
121,0.323,255,255,255,5646.313,3970.175
122,0.323,255,255,255,5645.177,3970.743
123,0.323,255,255,255,5711.654,3971.880
124,0.323,255,255,255,5707.677,3990.630
125,0.323,255,255,255,5712.222,3996.311
126,0.323,255,255,255,5675.859,3998.584
127,0.323,255,255,255,5163.926,3999.720
128,0.646,255,255,255,5296.597,4015.914
129,0.323,255,255,255,5693.472,4016.198
130,0.323,255,255,255,5576.427,4040.061
131,0.323,255,255,255,5576.427,4041.198
132,0.323,255,255,255,5630.404,4057.675
133,0.323,255,255,255,5644.041,4061.084
134,0.323,255,255,255,5664.495,4067.902
135,0.646,255,255,255,5646.313,4076.709
136,1.614,255,255,255,4396.994,4115.289
137,0.323,255,255,255,5650.291,4116.198
138,0.323,255,255,255,5621.881,4119.607
139,0.323,255,255,255,5620.177,4121.312
140,3.551,255,255,255,3575.082,4303.491
141,0.323,255,255,255,4422.448,4303.698
142,0.323,255,255,255,5223.017,4333.812
143,0.646,255,255,255,4191.482,4371.880
144,0.323,255,255,255,4502.562,4491.198
145,0.646,255,255,255,4591.767,4643.755
146,0.646,255,255,255,5044.324,4751.426
147,0.323,255,255,255,854.262,5064.494
148,0.323,255,255,255,4390.062,5487.222
149,0.323,255,255,255,4427.562,5501.427
150,0.323,255,255,255,4015.061,5738.927
