 ,Area,Mean,Min,Max,X,Y
1,3.874,255,255,255,1207.955,445.550
2,14.527,255,255,255,1171.206,474.578
3,0.323,255,255,255,1254.262,478.694
4,0.646,255,255,255,1257.387,481.251
5,0.646,255,255,255,1255.114,482.671
6,0.323,255,255,255,1158.239,497.444
7,0.646,255,255,255,1157.955,498.864
8,17.110,255,255,255,1115.797,545.418
9,0.323,255,255,255,1112.785,546.307
10,0.646,255,255,255,1114.205,548.864
11,1.291,255,255,255,903.694,554.120
12,2.583,255,255,255,905.469,555.398
13,1.291,255,255,255,906.961,556.961
14,0.323,255,255,255,905.398,557.103
15,0.323,255,255,255,865.057,580.398
16,0.323,255,255,255,863.921,580.967
17,28.732,255,255,255,864.872,585.084
18,0.323,255,255,255,867.898,584.376
19,8.071,255,255,255,1224.717,585.603
20,0.323,255,255,255,1195.739,584.944
21,17.110,255,255,255,1193.617,588.439
22,0.323,255,255,255,1197.444,586.648
23,0.323,255,255,255,1302.558,586.648
24,0.323,255,255,255,1221.308,587.785
25,0.323,255,255,255,1217.898,588.353
26,0.646,255,255,255,1227.273,588.353
27,9.362,255,255,255,1222.895,590.410
28,0.323,255,255,255,1226.989,589.489
29,0.323,255,255,255,1217.330,590.057
30,0.323,255,255,255,1193.467,591.762
31,0.323,255,255,255,1188.921,593.467
32,3.551,255,255,255,1103.436,598.529
33,2.583,255,255,255,1135.228,608.310
34,1.291,255,255,255,1132.955,609.092
35,0.323,255,255,255,1154.830,611.080
36,5.488,255,255,255,1132.571,612.918
37,30.669,255,255,255,1627.342,620.638
38,0.323,255,255,255,1632.671,617.898
39,25.826,255,255,255,1211.279,623.637
40,1.614,255,255,255,1206.876,620.626
41,0.646,255,255,255,1623.865,620.739
42,0.323,255,255,255,1205.398,621.308
43,0.323,255,255,255,1622.444,621.308
44,0.646,255,255,255,1631.535,622.160
45,7.102,255,255,255,1206.251,623.684
46,36.803,255,255,255,1030.742,628.958
47,0.323,255,255,255,1035.512,626.989
48,0.323,255,255,255,1211.080,626.989
49,0.968,255,255,255,1035.891,630.209
50,0.323,255,255,255,1163.921,632.671
51,0.323,255,255,255,1163.353,633.808
52,0.968,255,255,255,1157.861,635.891
53,0.323,255,255,255,1159.376,638.353
54,6.134,255,255,255,1134.136,643.347
55,0.968,255,255,255,1136.838,646.497
56,4.520,255,255,255,1136.973,648.986
57,0.323,255,255,255,1135.512,650.285
58,0.323,255,255,255,1393.467,652.558
59,0.323,255,255,255,1400.853,652.558
60,0.646,255,255,255,1113.637,653.410
61,0.323,255,255,255,1398.580,653.126
62,0.323,255,255,255,796.875,653.694
63,0.646,255,255,255,1111.932,653.694
64,2.583,255,255,255,1393.112,654.404
65,2.260,255,255,255,1402.476,654.343
66,1.614,255,255,255,1396.876,654.376
67,2.583,255,255,255,795.810,655.683
68,0.323,255,255,255,1111.648,654.830
69,0.323,255,255,255,1400.285,655.398
70,31.315,255,255,255,774.213,659.663
71,0.323,255,255,255,794.035,656.535
72,0.323,255,255,255,797.444,656.535
73,0.323,255,255,255,1198.012,657.103
74,4.520,255,255,255,1374.676,658.280
75,0.323,255,255,255,1126.421,659.376
76,0.968,255,255,255,1375.095,659.755
77,0.323,255,255,255,773.012,665.058
78,0.323,255,255,255,1538.921,666.762
79,0.323,255,255,255,1154.262,673.012
80,42.937,255,255,255,756.248,677.891
81,0.323,255,255,255,1174.148,673.580
82,0.968,255,255,255,1157.292,676.611
83,0.323,255,255,255,759.375,678.694
84,1.614,255,255,255,1224.262,680.285
85,0.646,255,255,255,1226.137,680.683
86,5.165,255,255,255,1225.782,683.346
87,0.323,255,255,255,756.535,682.103
88,0.968,255,255,255,1222.633,683.239
89,0.323,255,255,255,754.262,683.239
90,0.323,255,255,255,1226.989,685.512
91,0.323,255,255,255,757.103,686.080
92,0.646,255,255,255,756.250,687.217
93,0.323,255,255,255,758.239,687.217
94,0.323,255,255,255,756.535,688.353
95,1.291,255,255,255,755.256,690.484
96,4.197,255,255,255,1259.332,699.542
97,0.646,255,255,255,1262.501,699.433
98,1.937,255,255,255,1258.239,702.274
99,0.646,255,255,255,1402.558,710.228
100,4.842,255,255,255,1404.149,711.383
101,0.323,255,255,255,1088.921,710.512
102,0.323,255,255,255,1408.239,712.217
103,0.323,255,255,255,1401.989,712.785
104,0.323,255,255,255,1405.967,712.785
105,0.323,255,255,255,1087.785,713.353
106,4.842,255,255,255,1250.171,715.133
107,0.323,255,255,255,1087.217,714.489
108,0.646,255,255,255,1225.853,716.478
109,0.323,255,255,255,1226.989,716.762
110,0.323,255,255,255,1255.398,717.330
111,41.000,255,255,255,969.840,726.144
112,0.323,255,255,255,1142.898,729.830
113,3.874,255,255,255,1246.308,731.677
114,0.323,255,255,255,1243.467,730.967
115,38.740,255,255,255,1557.794,734.864
116,0.646,255,255,255,1250.569,734.376
117,0.323,255,255,255,1700.285,734.376
118,0.323,255,255,255,1553.694,734.944
119,0.323,255,255,255,1698.012,735.512
120,0.323,255,255,255,1697.444,737.785
121,0.646,255,255,255,1711.365,738.353
122,0.323,255,255,255,1213.921,738.921
123,0.646,255,255,255,1706.251,739.489
124,0.323,255,255,255,1712.785,741.194
125,0.646,255,255,255,1712.217,742.614
126,0.323,255,255,255,1703.126,744.035
127,0.323,255,255,255,1621.308,751.989
128,0.968,255,255,255,1520.929,758.050
129,1.291,255,255,255,1601.705,757.955
130,6.134,255,255,255,1158.209,760.363
131,18.724,255,255,255,997.297,762.961
132,11.945,255,255,255,1162.078,764.919
133,1.614,255,255,255,1571.876,761.421
134,0.323,255,255,255,999.716,761.649
135,0.968,255,255,255,1156.724,763.353
136,1.614,255,255,255,1570.740,764.603
137,0.323,255,255,255,1160.512,764.490
138,1.291,255,255,255,1158.239,765.484
139,0.323,255,255,255,1164.489,765.626
140,0.646,255,255,255,992.614,768.467
141,0.323,255,255,255,995.739,768.467
142,4.842,255,255,255,1086.800,770.361
143,0.323,255,255,255,1084.376,771.308
144,51.330,255,255,255,1060.491,781.603
145,0.323,255,255,255,1142.330,777.558
146,0.323,255,255,255,1970.740,777.558
147,2.260,255,255,255,1142.249,780.074
148,0.646,255,255,255,1085.512,780.683
149,0.323,255,255,255,1355.398,780.967
150,0.323,255,255,255,1337.785,782.671
151,5.165,255,255,255,1640.626,784.447
152,1.937,255,255,255,1134.660,787.690
153,3.551,255,255,255,1325.285,789.748
154,0.968,255,255,255,1133.429,789.868
155,0.323,255,255,255,1345.171,789.490
156,0.323,255,255,255,1343.467,790.626
157,4.520,255,255,255,1329.465,792.249
158,0.323,255,255,255,1344.603,791.762
159,0.323,255,255,255,1341.762,792.330
160,0.646,255,255,255,1347.728,795.455
161,0.323,255,255,255,1346.308,795.740
162,0.323,255,255,255,1345.739,796.876
163,0.323,255,255,255,1348.580,796.876
164,0.323,255,255,255,1344.603,799.149
165,0.323,255,255,255,1750.285,800.285
166,0.323,255,255,255,1750.285,801.421
167,0.323,255,255,255,1749.149,803.126
168,0.323,255,255,255,1344.035,809.376
169,26.795,255,255,255,1345.938,813.120
170,4.197,255,255,255,1356.579,818.292
171,4.842,255,255,255,1359.224,823.808
172,0.323,255,255,255,1025.285,823.012
173,5.488,255,255,255,1024.081,826.121
174,1.614,255,255,255,1765.512,829.490
175,16.142,255,255,255,1764.910,834.762
176,0.323,255,255,255,1767.899,830.967
177,0.323,255,255,255,1761.649,831.535
178,1.937,255,255,255,976.705,844.698
179,3.551,255,255,255,974.768,846.359
180,0.968,255,255,255,1575.096,857.482
181,0.646,255,255,255,1576.705,857.671
182,1.614,255,255,255,1933.012,860.399
183,1.291,255,255,255,1934.802,860.228
184,0.323,255,255,255,1929.262,861.081
185,19.047,255,255,255,1930.476,866.599
186,0.323,255,255,255,1935.512,861.649
187,5.165,255,255,255,1935.264,863.992
188,0.323,255,255,255,1928.694,863.353
189,0.323,255,255,255,1927.558,869.035
190,0.323,255,255,255,1105.967,875.285
191,21.307,255,255,255,1106.104,879.572
192,0.323,255,255,255,1107.671,882.671
193,3.551,255,255,255,1243.570,889.231
194,0.323,255,255,255,1239.489,890.058
195,0.646,255,255,255,1501.137,894.035
196,0.646,255,255,255,1503.126,894.887
197,0.323,255,255,255,1501.989,895.171
198,0.323,255,255,255,1418.467,896.308
199,0.323,255,255,255,1504.262,896.308
200,0.323,255,255,255,1507.103,896.876
201,0.323,255,255,255,1503.694,897.444
202,0.323,255,255,255,1507.103,898.012
203,0.323,255,255,255,1382.103,899.149
204,0.323,255,255,255,1384.376,899.717
205,9.039,255,255,255,1382.671,902.213
206,0.323,255,255,255,1386.080,901.990
207,0.323,255,255,255,1099.717,902.558
208,0.323,255,255,255,1998.012,903.126
209,0.323,255,255,255,1099.717,904.262
210,0.323,255,255,255,1100.853,904.831
211,3.228,255,255,255,1998.410,906.706
212,20.016,255,255,255,1442.963,912.299
213,0.323,255,255,255,1997.444,909.376
214,0.323,255,255,255,1445.739,909.944
215,0.323,255,255,255,1445.739,911.081
216,0.646,255,255,255,1896.876,911.365
217,0.323,255,255,255,1895.740,912.785
218,1.614,255,255,255,1898.240,913.126
219,2.260,255,255,255,1894.441,914.246
220,0.323,255,255,255,1896.308,913.921
221,0.646,255,255,255,1898.865,914.490
222,2.260,255,255,255,1896.957,915.464
223,0.323,255,255,255,1895.172,916.762
224,29.378,255,255,255,1219.029,921.114
225,0.323,255,255,255,1573.012,917.899
226,2.260,255,255,255,1575.772,918.305
