 ,Area,Mean,Min,Max,X,Y
1,0.323,255,255,255,4500.857,34.943
2,0.323,255,255,255,4503.130,37.216
3,0.323,255,255,255,4505.403,37.216
4,0.323,255,255,255,4510.516,44.602
5,0.323,255,255,255,4501.994,48.580
6,0.323,255,255,255,4480.971,80.398
7,0.646,255,255,255,4481.255,81.818
8,0.323,255,255,255,3456.538,95.739
9,0.323,255,255,255,4517.335,105.966
10,0.646,255,255,255,4547.164,109.375
11,0.323,255,255,255,4550.289,112.784
12,0.323,255,255,255,4551.426,116.761
13,0.323,255,255,255,4551.994,117.898
14,0.323,255,255,255,4488.926,118.466
15,1.291,255,255,255,4488.784,120.455
16,0.646,255,255,255,4552.278,120.455
17,1.291,255,255,255,2819.037,122.585
18,0.323,255,255,255,4552.562,124.148
19,0.323,255,255,255,4488.357,125.852
20,0.323,255,255,255,3309.379,128.125
21,0.323,255,255,255,3449.152,128.125
22,0.968,255,255,255,4556.918,135.322
23,0.323,255,255,255,4558.812,136.648
24,0.323,255,255,255,4557.676,138.921
25,0.323,255,255,255,4554.267,144.602
26,1.291,255,255,255,4551.426,150.142
27,0.323,255,255,255,4552.562,150.852
28,0.323,255,255,255,4551.426,151.989
29,7.748,255,255,255,4540.015,154.995
30,0.646,255,255,255,4532.960,154.830
31,0.323,255,255,255,4531.539,155.966
32,0.323,255,255,255,4536.653,155.966
33,0.323,255,255,255,4509.380,158.807
34,0.323,255,255,255,3458.243,162.784
35,0.323,255,255,255,3458.243,163.921
36,0.323,255,255,255,2924.719,195.739
37,0.323,255,255,255,3383.242,196.875
38,0.323,255,255,255,4333.812,204.262
39,0.323,255,255,255,4532.107,242.330
40,0.323,255,255,255,4532.107,245.171
41,0.323,255,255,255,4495.176,246.307
42,7.102,255,255,255,4536.240,247.728
43,0.323,255,255,255,4538.357,246.875
44,0.323,255,255,255,4540.062,247.443
45,0.646,255,255,255,4539.778,250.568
46,0.323,255,255,255,4497.448,250.853
47,0.323,255,255,255,4542.335,250.853
48,0.323,255,255,255,4545.744,261.648
49,0.323,255,255,255,3359.379,282.671
50,1.614,255,255,255,4560.630,295.512
51,0.323,255,255,255,4564.494,295.739
52,0.323,255,255,255,4565.630,296.875
53,0.323,255,255,255,4557.107,297.444
54,0.323,255,255,255,4559.380,297.444
55,0.323,255,255,255,4565.630,298.012
56,1.291,255,255,255,4562.505,298.864
57,0.968,255,255,255,4564.115,299.716
58,0.323,255,255,255,4565.630,299.148
59,0.323,255,255,255,4562.789,300.853
60,0.323,255,255,255,4566.767,301.421
61,0.323,255,255,255,4438.925,301.989
62,0.323,255,255,255,4498.585,301.989
63,2.905,255,255,255,4562.095,303.062
64,0.323,255,255,255,4566.198,302.557
65,0.323,255,255,255,4570.176,303.125
66,0.323,255,255,255,4564.494,303.694
67,0.323,255,255,255,4566.767,303.694
68,0.323,255,255,255,4565.630,304.262
69,0.323,255,255,255,4563.926,304.830
70,0.323,255,255,255,4571.880,304.830
71,0.323,255,255,255,4565.062,305.398
72,0.323,255,255,255,4566.198,305.398
73,0.323,255,255,255,4562.221,306.534
74,0.646,255,255,255,4564.778,306.534
75,0.323,255,255,255,4562.789,307.671
76,0.323,255,255,255,4560.517,314.489
77,0.323,255,255,255,4569.607,315.057
